Roll_Number,fullName,Gender,BirthDate,age,MBA CGPA,garduation college,University,Degree,Specialization,percentage marks obtained during graduation,year when graduation was completed,name of the school attended for class 12,education board for class 12,academic stream chosen in class 12,percentage marks scored in class 12,year when class 12 was completed,name of the school attended for class 10,education board for class 10,percentage marks scored in class 10,year when class 10 was completed,did the student have any gaps in academic career,duration of academic gap in months,does the student have any prior work experience,total work experience of the student in months,name of the first organization worked at,duration of work experience at first organization in months,industry of the first organization,domain or function at first organization,job title or designation at first organization,name of the second organization worked at,duration of work experience at second organization in months,industry of the second organization,domain or function at second organization,job title or designation at second organization,name of the third organization worked at,duration of work experience at third organization in months,industry of the third organization,domain or function at third organization,job title or designation at third organization,"Languages the student can speak, understand, or is proficient in",Desired job role or long-term career goal of the student,First area of academic or professional specialization of the student,Second area of academic or professional specialization of the student,Name of the organization where the student completed their summer internship,Role or profile undertaken by the student during their summer internship,projects or research work done during mba,technical skills of the student,interpersonal or soft skills of the student
115,Chandan Bains,Male,2/15/1993,23,8.18,Loyola College,Nirma University,B.Com.,Chemical Engineering,81.22,2023,Pml S.D Public School,CBSE,Commerce,92.2,2020,Basava international,CBSE,76.17,2018,No,1 months,No,30 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Investment Banking Analyst,Finance,Marketing,Saxo Group India Private Limited,Finance and accounts intern,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
116,Chetan Das,Male,4/14/2001,23,7.38,Deshbandhu College,Guru Gobind Singh Indraprastha University,B.Sc. (Hons.),Physical Science With Chemistry,79.45,2022,The Shri Ram School,CBSE,Science (Non-Medical),81.8,2018,St. Peter Senior Secondary School,CBSE,95,2016,Yes,11 months,No,23 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Punjabi",Management Consultant,Marketing,Finance,Make My Trip,Intern - Due diligence,"1. Marketing Analytics
2. Customer Segmentation
3. Campaign Performance Analysis","1. Advanced Analytics Tools
2. CRM Systems
3. Data Visualization","1. Data-Driven Decision Making
2. Analytical Thinking
3. Strategic Planning"
117,Fatima Mohanty,Female,7/20/2001,23,6.34,Galgotias University,Galgotias University,B.Com. (Hons.),General,70.21,2023,Sharda International School,"Department of Pre-University Education, Karnataka",Science,80,2019,South Point High School,Madhya Pradesh Board of Secondary Education,89.3,2017,Yes,11 months,No,24 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Finance Manager,Marketing,Finance,Axis Bank Ltd.,Finance Intern,"1. Digital Marketing Campaigns
2. Content Strategy
3. Social Media Analytics","1. Google Analytics
2. Social Media Tools
3. SEO/SEM Platforms","1. Digital Innovation
2. Analytics Thinking
3. Content Strategy"
118,Harish Nair,Male,5/24/2001,24,7.02,H. L. College Of Commerce,Gujarat University,B.Tech,General,75,2020,Shri Swami Narayan Academy,CBSE,Science (Non-Medical),70.6,2016,DAV Public School,CBSE,79.8,2014,No,9 months,Yes,35 months,RASPL Group,13 months,Financial Services & Insurance,Operations,Marketing Analyst,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Digital Marketing Specialist,Marketing,Operations,Calvin Klein,Marketing and Sales Intern,"1. Predictive Modeling
2. Machine Learning
3. Data Analytics","1. Python
2. SQL
3. Machine Learning Libraries","1. Data Visualization
2. Business Understanding
3. Technical Problem Solving"
119,Ajay Rana,Male,11/26/2002,24,8.54,Shaheed Bhagat Singh College,University Of Delhi,B.Com. (Hons.),Commerce,76,2021,Manav Rachna International School,CBSE,Commerce,90.17,2018,Maheshwari Public School RIICO P-II Bagru Jaipur,CBSE,91.2,2016,Yes,8 months,Yes,7 months,KPMG,20 months,Information Technology,Finance,Audit Analyst,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Bengali",Business Intelligence Developer,Marketing,Finance,V-Guard Industries,Business Analyst,"1. Digital Marketing Campaigns
2. Content Strategy
3. Social Media Analytics","1. Google Analytics
2. Social Media Tools
3. SEO/SEM Platforms","1. Digital Innovation
2. Analytics Thinking
3. Content Strategy"
120,Raghav Gupta,Male,2/24/1999,25,6.96,Singhania University,Dr. A.P.J. Abdul Kalam Technical University,B.Com. (Hons.),General,61.8,2020,Julien Day School,CBSE,Commerce,85.2,2017,Jaspal Kaur Public School,CBSE,86.14,2015,Yes,3 months,No,11 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Bengali",Digital Marketing Specialist,International Business,Marketing,"PVH Arvind Fashion Ltd, Tommy Hilfiger",Digital Marketing Executive (SEO),"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
121,Satish Dhar,Male,10/23/2000,22,7.45,Dyal Singh Evening College,University Of Delhi,B.Com. (Hons.),General,75.95,2023,Delhi Public School,CBSE,Commerce,83,2020,"Salwan Public School, Rajinder Nagar",CBSE,85.5,2018,No,11 months,No,12 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Punjabi",Management Consultant,International Business,Finance,Bajaj Finserv,Area Sales Manager Trainee,"1. Digital Marketing Campaigns
2. Content Strategy
3. Social Media Analytics","1. Google Analytics
2. Social Media Tools
3. SEO/SEM Platforms","1. Digital Innovation
2. Analytics Thinking
3. Content Strategy"
122,Rajendra Gupta,Male,10/13/2000,27,7.9,"Bhilai Institute Of Technology, Durg",Jaypee Institute Of Information Technology,B.Tech,Computer Science Engineering,70,2019,Bholananda National Vidyalaya,CBSE,Science (Non-Medical),83.6,2014,ST.Peter's Senior Secondary School,CBSE,83.6,2012,No,1 months,Yes,38 months,Amazon Development Centre India,32 months,Pharmaceutical,Technology,Executive- Technical Services,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Punjabi",Brand Manager,Finance,Marketing,Capgemini,Marketing Intern,"1. BI Solutions
2. Dashboard Development
3. Data Warehouse Design","1. SQL
2. Power BI
3. ETL Tools","1. Data Visualization
2. Business Understanding
3. Technical Problem Solving"
123,Jayant Bhatt,Male,3/15/2000,25,7.02,Shri Ramswaroop College Of Engineering And Management,Kurukshetra University,B.Com. (Hons.),Mechatronics Engineering,80.2,2020,Delhi Public School,CBSE,Commerce,66.2,2015,Bolosing Memorial School,ICSE,65.5,2013,Yes,4 months,Yes,7 months,Public Health Foundation Of India,24 months,Health,Content Compiler,Systems Engineer,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Marketing Analytics Manager,Marketing,Information Technology,JRAI,Area Manager Trainee Intern,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
124,Swati Naidu,Female,7/25/2002,22,7.55,Iis (Deemed To Be University),Iis University,B.B.A.,Marketing And Finance,84.05,2022,Delhi Public School,CBSE,Commerce,85.6,2019,Delhi Public School,CBSE,95,2017,Yes,11 months,No,7 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Strategy Analyst,Big Data Analytics,Marketing,Woxen Digital Pvt. Ltd.,Project marketing intern,"1. Marketing Analytics
2. Customer Segmentation
3. Campaign Performance Analysis","1. Advanced Analytics Tools
2. CRM Systems
3. Data Visualization","1. Data-Driven Decision Making
2. Analytical Thinking
3. Strategic Planning"
125,Asmita Hanjra,Female,8/25/2001,25,7.87,Ramanujan College,Amity University,B.B.A.,Marketing,76,2020,Modern Senior Secondary School,CBSE,Science (Non-Medical),88,2017,Aadharshila Vidyapeeth,CBSE,87.4,2015,No,8 months,Yes,31 months,Propacity PropTech Pvt. Ltd.,7 months,FMCG,Strategy,Customer Service and Operations Analyst,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Marketing Analytics Manager,International Business,Marketing,Jeena and Company,Business Development Intern,"1. Business Transformation
2. Strategy Development
3. Process Optimization","1. Strategic Analysis Tools
2. Advanced Excel
3. Project Management Software","1. Statistical Thinking
2. Problem Solving
3. Technical Communication"
126,Saket Joshi,Male,8/30/2000,24,8,Shaheed Bhagat Singh College (Evening),Indira Gandhi National Open University,B.Com. (Hons.),Computer Science Engineering,86.07,2022,Dyal Singh Public School,CBSE,Commerce,79.83,2018,"AG DAV Centenary Public School, Model Town",CBSE,87.4,2016,Yes,12 months,No,11 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Brand Manager,Finance,Marketing,GreyRadius Informatics Private Limited,Sales & Marketing Intern,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
127,Rajat Dwivedi,Male,3/26/2002,20,7.48,Maharaja Surajmal Institute,Guru Gobind Singh Indraprastha University,B.Com.,Information Technology,75.27,2023,Shri Ji Baba Saraswati Vidya Mandir,CBSE,Commerce,92.2,2020,The Gladiolus School,CBSE,88.8,2018,No,0 months,No,13 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Punjabi",Business Analyst,Big Data Analytics,Marketing,MakkPress Technologies Pvt. Ltd.,Business Development Intern,"1. Marketing Analytics
2. Customer Segmentation
3. Campaign Performance Analysis","1. Advanced Analytics Tools
2. CRM Systems
3. Data Visualization","1. Data-Driven Decision Making
2. Analytical Thinking
3. Strategic Planning"
128,Parth Aggarwal,Male,2/18/2000,24,7.41,University Commerce College,Vellore Institute Of Technology,B.Tech,Mechanical Engineering,65.28,2022,Delhi Public School,ISC,Science (Medical),63.85,2017,Sarvodaya Bal Vidyalaya,ICSE,66.5,2015,Yes,2 months,No,16 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Research Analyst,International Business,Finance,Canara HSBC Life Insurance,Analysis Operational Risk and Design Risk Framework,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
129,Kiran Mishra,Female,3/30/2001,23,7.83,St. Xavier'S College,University Of Delhi,B.B.A.,General,80.7,2022,Modern Vidya Niketan,CBSE,Commerce,92,2019,O.P. Jinal Modern School,CBSE,95,2017,Yes,7 months,No,6 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Digital Marketing Specialist,Finance,Marketing,ClarityX Analytics,Marketing- social media,"1. Predictive Modeling
2. Machine Learning
3. Data Analytics","1. Python
2. SQL
3. Machine Learning Libraries","1. Statistical Thinking
2. Problem Solving
3. Technical Communication"
130,Bhavya Behera,Female,3/28/1996,22,8.11,Sri Aurobindo College Of Commerce And Management,Panjab University,B.Com. (Hons.),General,67.5,2022,Delhi Public School,ISC,Commerce,94.75,2019,"Delhi public school, Megacity",ICSE,90.25,2017,Yes,10 months,No,21 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Brand Manager,Human Resources,Finance,SBI Funds Management,HR Intern,"1. Digital Marketing Campaigns
2. Content Strategy
3. Social Media Analytics","1. Google Analytics
2. Social Media Tools
3. SEO/SEM Platforms","1. Digital Innovation
2. Analytics Thinking
3. Content Strategy"
131,Ruchika Mathur,Female,5/24/2001,25,6.87,Pranveer Singh Institute Of Technology,The Northcap University,B.E.,Biology,88.7,2020,Delhi Public School,CBSE,Science (Non-Medical),73,2017,Convent of Sacred Heart,CBSE,95,2015,Yes,12 months,Yes,19 months,Godrej and Boyce Mfg. Co. Ltd.,7 months,Consultancy,Operations,Graduate Engineer Trainee,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Digital Marketing Specialist,Marketing,International Business,Compunnel India,Intern Consultant,"1. Marketing Analytics
2. Customer Segmentation
3. Campaign Performance Analysis","1. Advanced Analytics Tools
2. CRM Systems
3. Data Visualization","1. Data-Driven Decision Making
2. Analytical Thinking
3. Strategic Planning"
132,Pranav Kalra,Male,7/20/2001,23,6.52,The Bhawanipur Education Society College,Guru Gobind Singh Indraprastha University,B.Com. (Hons.),General,82.6,2022,St. TheresaâS Convent School,Maharashtra State Board of Secondary and Higher Secondary Education,Commerce,83.6,2019,The Lawrence School Lovedale,CBSE,72.2,2017,Yes,3 months,No,13 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Brand Manager,Marketing,Finance,Krishna InfraTec,Area Sales Manager Intern,"1. Data Analysis
2. Business Metrics
3. Process Analytics","1. SQL
2. Python
3. Business Intelligence Tools","1. Data Analysis
2. Business Acumen
3. Problem Solving"
133,Arpita Patel,Female,4/18/2001,23,6.4,Shaheed Rajguru College Of Applied Sciences For Women,Guru Gobind Singh Indraprastha University,B.Sc. (Hons.),Statistics,77.62,2022,St. Cecilia'S Public School,CBSE,Science (Non-Medical),77.4,2019,Christ School Poonch,CBSE,83.6,2017,Yes,10 months,No,10 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Brand Manager,International Business,Marketing,Urban Air Labs,Market Research Intern,"1. Valuation Analysis
2. M&A Analysis
3. Financial Modeling","1. Financial Modeling
2. Bloomberg Terminal
3. Investment Analysis Tools","1. Financial Analysis
2. Valuation Skills
3. Deal Analysis"
134,Sadia Das,Female,7/27/1992,23,7.54,"Faculty Of Technology, Dharmsinh Desai University",Devi Ahiliya Viswavidyalaya,B.B.A.,General,83.9,2022,Delhi International School,CBSE,Commerce,83.85,2019,Delhi International School,CBSE,91.2,2017,Yes,1 months,No,11 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Punjabi",Brand Manager,Big Data Analytics,Marketing,Woxen Digital Pvt. Ltd.,Marketing Intern,"1. Data Analysis
2. Business Metrics
3. Process Analytics","1. SQL
2. Python
3. Business Intelligence Tools","1. Data Analysis
2. Business Acumen
3. Problem Solving"
135,Sameera Ahluwalia,Female,7/14/2002,22,7.15,Kanoria Mahila Mahavidhyalaya,Guru Gobind Singh Indraprastha University,B.B.A.,General,86.7,2023,Modern Vidya Niketan,CBSE,Commerce,72.67,2020,Modern senior secondary school,CBSE,74.1,2018,No,3 months,No,30 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Business Data Analyst,Human Resources,Marketing,PaySprint Private Limited,Brand Marketing Intern,"1. Data Analysis
2. Business Metrics
3. Process Analytics","1. SQL
2. Python
3. Business Intelligence Tools","1. Data Analysis
2. Business Acumen
3. Problem Solving"
136,Vishal Purohit,Male,11/25/1999,23,7.64,Maharaja Surajmal Institute,University Of Delhi,B.Com. (Hons.),Commerce,65.34,2021,Pt Mohan Lal S D Pub School,CBSE,Commerce,94.6,2018,Sumeet Rahul Goel Memorial Senior Secondary School,CBSE,91.2,2016,No,10 months,Yes,20 months,Cvent India Pvt. Ltd.,15 months,Financial Services & Insurance,Finance,Advanced Associate - Assurance Services (Audit),No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Management Consultant,Marketing,Finance,RALSON TYRES LIMITED,Summer Intern,"1. Predictive Modeling
2. Machine Learning
3. Data Analytics","1. Python
2. SQL
3. Machine Learning Libraries","1. Statistical Thinking
2. Problem Solving
3. Technical Communication"
137,Mahesh Grewal,Male,10/27/1995,24,6.76,Motilal Nehru College,University Of Delhi,B.Com. (Hons.),General,86,2021,L B Shastri Smk Javm S S School,CBSE,Commerce,74.6,2018,Lancer's Convent,CBSE,74.1,2016,Yes,12 months,No,13 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Marketing Analytics Manager,Big Data Analytics,Finance,Inclusive FinTech Hub,Credit Analyst,"1. Business Transformation
2. Strategy Development
3. Process Optimization","1. Strategic Analysis Tools
2. Advanced Excel
3. Project Management Software","1. Statistical Thinking
2. Problem Solving
3. Technical Communication"
138,Ashwin Purohit,Male,5/14/2002,24,6.67,Christ University,Chirst Deemed To Be University,B.Tech,Electrical Engineering,77.71,2022,Vivekananda Kendra Vidyalaya,CBSE,Science (Non-Medical),62.4,2017,"Delhi Public School, Kashi",CBSE,85,2015,Yes,4 months,No,19 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Market Research Specialist,Finance,Marketing,Inflection Point Ventures,Business development intern,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
139,Vivaan Reddy,Male,8/22/2002,23,7.08,J.C. Bose University Of Science And Technology,Guru Gobind Singh Indraprastha University,B.Tech,Information Technology,80.5,2022,Bal Bharati Public School,CBSE,Science (Non-Medical),88.33,2018,Ryan International School,CBSE,95,2016,Yes,5 months,No,12 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi,German",Brand Manager,Finance,Marketing,MavenSensum,Business Analyst,"1. Valuation Analysis
2. M&A Analysis
3. Financial Modeling","1. Financial Modeling
2. Bloomberg Terminal
3. Investment Analysis Tools","1. Financial Analysis
2. Valuation Skills
3. Deal Analysis"
140,Aman Venkatesh,Male,1/23/2001,23,8.33,Maharaja Agrasen College,University Of Delhi,B.Com. (Hons.),General,82.5,2022,Delhi Public School,CBSE,Commerce,89.2,2019,St. Xavier's School,CBSE,93.1,2017,Yes,10 months,No,10 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Brand Manager,Big Data Analytics,Finance,PrepShala,Marketing Intern,"1. Predictive Modeling
2. Machine Learning
3. Data Analytics","1. Python
2. SQL
3. Machine Learning Libraries","1. Statistical Thinking
2. Problem Solving
3. Technical Communication"
141,Vijay Venkatesh,Male,9/21/1999,23,6.9,Lovely Professional University,Birla Institute Of Technology,B.Tech,Civil Engineering,81.7,2022,Aadharshila Vidyapeeth,CBSE,Science (Non-Medical),80,2018,Gulmohur High School,CBSE,81.7,2016,Yes,10 months,No,18 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Brand Manager,Marketing,Operations,ITC ltd,Investment Analyst,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
142,Dhruv Bains,Male,1/15/2000,23,7.04,Thakur College Of Science And Commerce,Mumbai University,B.Com.,Finance,73.1,2022,Government Girl'S Higher Secondary School,CBSE,Commerce,86.8,2018,BSS Gurukulam Higher Secondary School,CBSE,85.28,2016,Yes,6 months,No,13 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Punjabi",Marketing Analytics Manager,Finance,Marketing,DMI Finance Pvt Ltd,Consumer Finance - Operations,"1. Marketing Analytics
2. Customer Segmentation
3. Campaign Performance Analysis","1. Advanced Analytics Tools
2. CRM Systems
3. Data Visualization","1. Data-Driven Decision Making
2. Analytical Thinking
3. Strategic Planning"
143,Zoya Bedi,Female,7/24/2000,25,7.17,Delhi College Of Arts And Commerce,Fakir Mohan University,B.B.A.,General,53.39,2020,Shri Kanwartara Public Higher Secondary School,CBSE,Commerce,82.2,2016,Gurukul School Dhamnod,CBSE,93.1,2014,Yes,6 months,No,16 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Management Consultant,Finance,Marketing,Asianet Satellite Communications Limited,Business Consulting in Finance Function,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
144,Ajay Hooda,Male,4/23/1999,24,7.22,Saint Andrews College,Deen Dayal Upadhyaya Gorakhpur University,B.Com.,Commerce,70,2021,Christ Junior College,ISC,Commerce,66,2018,Delhi Public School Kamptee Road Nagpur,ICSE,84.33,2016,Yes,11 months,No,10 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Business Data Analyst,International Business,Finance,Bank Of Baroda,Business Development Trainee,"1. BI Solutions
2. Dashboard Development
3. Data Warehouse Design","1. SQL
2. Power BI
3. ETL Tools","1. Data Visualization
2. Business Understanding
3. Technical Problem Solving"
145,Kartik Naidu,Male,3/29/1999,22,6.65,University Of Petroleum And Energy Studies,University Of Delhi,B.B.A.,General,80.6,2023,Mira Model School,CBSE,Commerce,64,2019,Venkateshwar International School,CBSE,68.4,2017,No,9 months,No,14 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Brand Manager,Finance,Marketing,Icici Bank,Finance Intern,"1. Data Analysis
2. Business Metrics
3. Process Analytics","1. SQL
2. Python
3. Business Intelligence Tools","1. Data Analysis
2. Business Acumen
3. Problem Solving"
146,Vimal Mittal,Male,6/28/2002,23,7.79,Maharaja Surajmal Institute,Guru Gobind Singh Indraprastha University,B.Com. (Hons.),General,87.11,2022,Guru Harkrishan Public School,ISC,Commerce,81.33,2019,Guru Harkrishan Public School,ICSE,91.2,2017,Yes,8 months,No,38 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Bengali",Digital Marketing Specialist,Marketing,Information Technology,Unicharm,Finance Intern,"1. HR Analytics
2. Employee Metrics
3. Performance Analysis","1. HRIS Systems
2. HR Analytics Tools
3. People Analytics Software","1. People Analytics
2. Data Analysis
3. HR Understanding"
147,Siddhesh Mishra,Male,2/21/1999,24,7.4,Sri Guru Tegh Bahadur Khalsa College,University Of Delhi,B.Com. (Hons.),Commerce,77.99,2021,Hemnani Public School,CBSE,Commerce,90.33,2018,Little Flower School,CBSE,81.7,2016,No,6 months,Yes,33 months,ITC- ABD Ltd,25 months,Consulting,Finance,Assitant Store Manager,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Assamese",Digital Marketing Specialist,Big Data Analytics,Marketing,Air India,Team Lead Sales,"1. Process Improvement
2. Business Requirements
3. System Analysis","1. SQL
2. Tableau
3. Advanced Excel","1. Business Acumen
2. Stakeholder Management
3. Analytical Thinking"
148,Trisha Tripathi,Female,8/22/2002,22,7.47,Graphic Era Deemed To Be University,Guru Jambheshwar University Of Science And Technology,B.Com.,General,86.5,2021,Government Girl'S Higher Secondary School,CBSE,Commerce,78.8,2018,St. Francis inter college,ICSE,95,2016,Yes,12 months,No,23 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Brand Manager,Human Resources,Marketing,CEI Design Consultancy,Sales & Marketing Intern,"1. Marketing Analytics
2. Customer Segmentation
3. Campaign Performance Analysis","1. Advanced Analytics Tools
2. CRM Systems
3. Data Visualization","1. Data-Driven Decision Making
2. Analytical Thinking
3. Strategic Planning"
149,Deepak Yadav,Male,4/21/2002,22,8.37,Dav College,Panjab University,B.Com. (Hons.),Banking,79.45,2023,L.S.D.B.R.A.S Vidya Mandir,CBSE,Commerce,89.33,2020,L.S.D.B.R.A.S Vidya Mandir,CBSE,86.4,2018,No,4 months,No,25 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Punjabi",Digital Marketing Specialist,Marketing,Finance,MakkPress Technologies Pvt. Ltd.,Investment Intern,"1. Market Research
2. Industry Analysis
3. Competitive Intelligence","1. Research Tools
2. Statistical Software
3. Data Analysis","1. Research Methods
2. Analytical Thinking
3. Report Writing"
150,Ajay Grewal,Male,3/28/2000,23,7.79,Maharaja Surajmal Institute,Guru Gobind Singh Indraprastha University,B.Com. (Hons.),General,87.11,2022,Bhavan'S Vidyalaya,CBSE,Commerce,76.67,2019,Baptist Convent Senior Secondary School,CBSE,89.3,2017,Yes,6 months,No,11 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Digital Marketing Specialist,Finance,Marketing,7P Digital Services,Research Analyst,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
151,Shraddha Bhatt,Female,2/20/2002,28,7.1,Pranveer Singh Institute Of Technology,Guru Gobind Singh Indraprastha University,B.Sc.,Biology,88,2017,Green Way Modern School,CBSE,Science,86.4,2013,St Lawrence Public Sr. School,CBSE,83.6,2011,Yes,1 months,Yes,38 months,Budge Budge Institute of Technology,16 months,E-Commerce,Human Resource,Advanced Audit Associate,HMX: Cooling and Heating Solutions,7 months,Consultancy,Audit and Assurance,Business Development Manager,No Organisation,0 months,None,None,None,"English, Hindi",Strategy Analyst,Big Data Analytics,Finance,Corizo Edutech,Marketing and business development,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
152,Akanksha Das,Female,11/25/2001,22,6.21,Bharati College,University Of Delhi,B.Sc. (Hons.),Statistics,75.54,2023,Lord Jesus Public School,CBSE,Commerce,89.8,2020,Innocent Children Academy,CBSE,74.1,2018,No,4 months,No,6 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Brand Manager,Finance,Marketing,SMC Global Securities Limited,Summer Intern,"1. Digital Marketing Campaigns
2. Content Strategy
3. Social Media Analytics","1. Google Analytics
2. Social Media Tools
3. SEO/SEM Platforms","1. Digital Innovation
2. Analytics Thinking
3. Content Strategy"
153,Ira Bose,Female,9/19/2000,23,7.6,Maitreyi College,Amity University,B.Com. (Hons.),General,75.5,2022,Seth Anandram Jaipuria School,CBSE,Commerce,92.4,2019,Sacred Heart Convent Senior Secondary School,CBSE,87.4,2017,Yes,6 months,No,16 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Finance Manager,Marketing,Human Resources,SBI Funds Management,Marketing Intern,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
154,Vishal Singh,Male,10/15/2000,26,6.64,Abes Engineering College,The Northcap University,B.Tech,General,77.9,2022,Lucknow Public School,CBSE,Science (Non-Medical),74.6,2016,Vandana International School,CBSE,95,2014,Yes,8 months,No,8 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Business Intelligence Developer,International Business,Marketing,Corizo Edtech,Strategy Intern,"1. Predictive Modeling
2. Machine Learning
3. Data Analytics","1. Python
2. SQL
3. Machine Learning Libraries","1. Statistical Thinking
2. Problem Solving
3. Technical Communication"
