Roll_Number,fullName,Gender,BirthDate,age,MBA CGPA,garduation college,University,Degree,Specialization,percentage marks obtained during graduation,year when graduation was completed,name of the school attended for class 12,education board for class 12,academic stream chosen in class 12,percentage marks scored in class 12,year when class 12 was completed,name of the school attended for class 10,education board for class 10,percentage marks scored in class 10,year when class 10 was completed
105,Ragini Menon,Female,5/31/2001,22,8.07,Shaheed Rajguru College Of Applied Sciences For Women,University Of Delhi,B.Sc. (Hons.),Computer Science Engineering,87.9,2021,Dynasty International School,CBSE,Science (Non-Medical),90.2,2018,"City Montessori school, Mahanagar",CBSE,95,2016
106,Kavya Mathur,Female,10/20/2001,22,6.63,Virendra Swarup Institute Of Computer Studies,Chhatrapati Shahu Ji Maharaj University,B.B.A.,General,71.23,2022,Viswasai Junior College,CBSE,Commerce,90.4,2019,Pinewood School,CBSE,91.2,2017
107,Rohan Malhotra,Male,9/14/2000,24,7.85,Srm Institute Of Science And Technology,Srm Institute Of Science And Technology,B.Tech,Computer Science Engineering,87.57,2021,Kundan Vidya Mandir Sr. Sec. School,CBSE,Science (Non-Medical),73.4,2017,Lancer's Convent School,CBSE,82.83,2015
108,Raj Aggarwal,Male,3/13/2000,22,7.49,Government Bba College,Gujarat University,B.B.A.,Finance,86.7,2022,Goodley Public School Shalimar Bagh,CBSE,Science (Non-Medical),62.8,2019,St. Mary's School,Board of High School and Intermediate Education U.P.,81,2017
109,Ishita Deshpande,Female,12/15/1998,24,6.66,Geeta Vidya Mandir Girls College,Maharaja Ganga Singh University,B.Com.,General,68,2021,St. Vivekanand Sr. Sec. School,CBSE,Commerce,74,2017,St. Vivekanand Sr. Sec. Schol,CBSE,88.14,2015
110,Aryan Saxena,Male,4/18/2001,23,6.76,B. Barooah College,"J.C. Bose University Of Science And Technology, Ymca",B.B.A.,General,69.83,2022,Sunbeam School Varuna,CBSE,Commerce,80,2018,"Sunbeam School Varuna, Varanasi",CBSE,72.66,2016
111,Rakesh Talwar,Male,4/27/2001,28,6.86,Abes Engineering College,Dr. A.P.J. Abdul Kalam Technical University,B.Tech,Mechanical Engineering,67.06,2018,"Ram Bhavan Inter College, Satahawa",Uttar Pradesh State Board of High School and Intermediate Education,Science (Non-Medical),87,2013,Sri Vidya Secondary School,CBSE,85.83,2011
112,Rajat Verma,Male,8/27/2001,25,6.85,Vivekananda Institute Of Professional Studies,Guru Gobind Singh Indraprastha University,B.B.A.,General,71.7,2019,Geeta Bal Bharti Sr Sec School,CBSE,Science (Non-Medical),81.2,2016,Geeta Bal Bharti Sr Sec School,CBSE,81.7,2014
113,Rajeev Chopra,Male,2/28/1998,25,7.55,Zakir Husain Delhi College,Dr. A.P.J. Abdul Kalam Technical University,B.E.,Zoology,77.71,2020,"Kendriya Vidyalaya, No. 2",CBSE,Science (Non-Medical),85,2017,Bal Mandir Senior Secondary School,ICSE,95,2015
114,Rohan Yadav,Male,10/15/1999,23,8.18,Loyola College,Madras University,B.Com. L.L.B,Management,63.42,2021,Convent Of Gagan Bharti,CBSE,Science (Medical),63.85,2018,St. Peter's College,CBSE,87.4,2016
115,Chandan Bains,Male,2/15/1993,23,8.18,Loyola College,Nirma University,B.Com.,Chemical Engineering,81.22,2023,Pml S.D Public School,CBSE,Commerce,92.2,2020,Basava international,CBSE,76.17,2018
116,Chetan Das,Male,4/14/2001,23,7.38,Deshbandhu College,Guru Gobind Singh Indraprastha University,B.Sc. (Hons.),Physical Science With Chemistry,79.45,2022,The Shri Ram School,CBSE,Science (Non-Medical),81.8,2018,St. Peter Senior Secondary School,CBSE,95,2016
117,Fatima Mohanty,Female,7/20/2001,23,6.34,Galgotias University,Galgotias University,B.Com. (Hons.),General,70.21,2023,Sharda International School,"Department of Pre-University Education, Karnataka",Science,80,2019,South Point High School,Madhya Pradesh Board of Secondary Education,89.3,2017
118,Harish Nair,Male,5/24/2001,24,7.02,H. L. College Of Commerce,Gujarat University,B.Tech,General,75,2020,Shri Swami Narayan Academy,CBSE,Science (Non-Medical),70.6,2016,DAV Public School,CBSE,79.8,2014
119,Ajay Rana,Male,11/26/2002,24,8.54,Shaheed Bhagat Singh College,University Of Delhi,B.Com. (Hons.),Commerce,76,2021,Manav Rachna International School,CBSE,Commerce,90.17,2018,Maheshwari Public School RIICO P-II Bagru Jaipur,CBSE,91.2,2016
120,Raghav Gupta,Male,2/24/1999,25,6.96,Singhania University,Dr. A.P.J. Abdul Kalam Technical University,B.Com. (Hons.),General,61.8,2020,Julien Day School,CBSE,Commerce,85.2,2017,Jaspal Kaur Public School,CBSE,86.14,2015
121,Satish Dhar,Male,10/23/2000,22,7.45,Dyal Singh Evening College,University Of Delhi,B.Com. (Hons.),General,75.95,2023,Delhi Public School,CBSE,Commerce,83,2020,"Salwan Public School, Rajinder Nagar",CBSE,85.5,2018
122,Rajendra Gupta,Male,10/13/2000,27,7.9,"Bhilai Institute Of Technology, Durg",Jaypee Institute Of Information Technology,B.Tech,Computer Science Engineering,70,2019,Bholananda National Vidyalaya,CBSE,Science (Non-Medical),83.6,2014,ST.Peter's Senior Secondary School,CBSE,83.6,2012
123,Jayant Bhatt,Male,3/15/2000,25,7.02,Shri Ramswaroop College Of Engineering And Management,Kurukshetra University,B.Com. (Hons.),Mechatronics Engineering,80.2,2020,Delhi Public School,CBSE,Commerce,66.2,2015,Bolosing Memorial School,ICSE,65.5,2013
124,Swati Naidu,Female,7/25/2002,22,7.55,Iis (Deemed To Be University),Iis University,B.B.A.,Marketing And Finance,84.05,2022,Delhi Public School,CBSE,Commerce,85.6,2019,Delhi Public School,CBSE,95,2017
125,Asmita Hanjra,Female,8/25/2001,25,7.87,Ramanujan College,Amity University,B.B.A.,Marketing,76,2020,Modern Senior Secondary School,CBSE,Science (Non-Medical),88,2017,Aadharshila Vidyapeeth,CBSE,87.4,2015
126,Saket Joshi,Male,8/30/2000,24,8,Shaheed Bhagat Singh College (Evening),Indira Gandhi National Open University,B.Com. (Hons.),Computer Science Engineering,86.07,2022,Dyal Singh Public School,CBSE,Commerce,79.83,2018,"AG DAV Centenary Public School, Model Town",CBSE,87.4,2016
127,Rajat Dwivedi,Male,3/26/2002,20,7.48,Maharaja Surajmal Institute,Guru Gobind Singh Indraprastha University,B.Com.,Information Technology,75.27,2023,Shri Ji Baba Saraswati Vidya Mandir,CBSE,Commerce,92.2,2020,The Gladiolus School,CBSE,88.8,2018
128,Parth Aggarwal,Male,2/18/2000,24,7.41,University Commerce College,Vellore Institute Of Technology,B.Tech,Mechanical Engineering,65.28,2022,Delhi Public School,ISC,Science (Medical),63.85,2017,Sarvodaya Bal Vidyalaya,ICSE,66.5,2015
129,Kiran Mishra,Female,3/30/2001,23,7.83,St. Xavier'S College,University Of Delhi,B.B.A.,General,80.7,2022,Modern Vidya Niketan,CBSE,Commerce,92,2019,O.P. Jinal Modern School,CBSE,95,2017
130,Bhavya Behera,Female,3/28/1996,22,8.11,Sri Aurobindo College Of Commerce And Management,Panjab University,B.Com. (Hons.),General,67.5,2022,Delhi Public School,ISC,Commerce,94.75,2019,"Delhi public school, Megacity",ICSE,90.25,2017
131,Ruchika Mathur,Female,5/24/2001,25,6.87,Pranveer Singh Institute Of Technology,The Northcap University,B.E.,Biology,88.7,2020,Delhi Public School,CBSE,Science (Non-Medical),73,2017,Convent of Sacred Heart,CBSE,95,2015
132,Pranav Kalra,Male,7/20/2001,23,6.52,The Bhawanipur Education Society College,Guru Gobind Singh Indraprastha University,B.Com. (Hons.),General,82.6,2022,St. TheresaâS Convent School,Maharashtra State Board of Secondary and Higher Secondary Education,Commerce,83.6,2019,The Lawrence School Lovedale,CBSE,72.2,2017
133,Arpita Patel,Female,4/18/2001,23,6.4,Shaheed Rajguru College Of Applied Sciences For Women,Guru Gobind Singh Indraprastha University,B.Sc. (Hons.),Statistics,77.62,2022,St. Cecilia'S Public School,CBSE,Science (Non-Medical),77.4,2019,Christ School Poonch,CBSE,83.6,2017
134,Sadia Das,Female,7/27/1992,23,7.54,"Faculty Of Technology, Dharmsinh Desai University",Devi Ahiliya Viswavidyalaya,B.B.A.,General,83.9,2022,Delhi International School,CBSE,Commerce,83.85,2019,Delhi International School,CBSE,91.2,2017
135,Sameera Ahluwalia,Female,7/14/2002,22,7.15,Kanoria Mahila Mahavidhyalaya,Guru Gobind Singh Indraprastha University,B.B.A.,General,86.7,2023,Modern Vidya Niketan,CBSE,Commerce,72.67,2020,Modern senior secondary school,CBSE,74.1,2018
136,Vishal Purohit,Male,11/25/1999,23,7.64,Maharaja Surajmal Institute,University Of Delhi,B.Com. (Hons.),Commerce,65.34,2021,Pt Mohan Lal S D Pub School,CBSE,Commerce,94.6,2018,Sumeet Rahul Goel Memorial Senior Secondary School,CBSE,91.2,2016
137,Mahesh Grewal,Male,10/27/1995,24,6.76,Motilal Nehru College,University Of Delhi,B.Com. (Hons.),General,86,2021,L B Shastri Smk Javm S S School,CBSE,Commerce,74.6,2018,Lancer's Convent,CBSE,74.1,2016
138,Ashwin Purohit,Male,5/14/2002,24,6.67,Christ University,Chirst Deemed To Be University,B.Tech,Electrical Engineering,77.71,2022,Vivekananda Kendra Vidyalaya,CBSE,Science (Non-Medical),62.4,2017,"Delhi Public School, Kashi",CBSE,85,2015
139,Vivaan Reddy,Male,8/22/2002,23,7.08,J.C. Bose University Of Science And Technology,Guru Gobind Singh Indraprastha University,B.Tech,Information Technology,80.5,2022,Bal Bharati Public School,CBSE,Science (Non-Medical),88.33,2018,Ryan International School,CBSE,95,2016
140,Aman Venkatesh,Male,1/23/2001,23,8.33,Maharaja Agrasen College,University Of Delhi,B.Com. (Hons.),General,82.5,2022,Delhi Public School,CBSE,Commerce,89.2,2019,St. Xavier's School,CBSE,93.1,2017
141,Vijay Venkatesh,Male,9/21/1999,23,6.9,Lovely Professional University,Birla Institute Of Technology,B.Tech,Civil Engineering,81.7,2022,Aadharshila Vidyapeeth,CBSE,Science (Non-Medical),80,2018,Gulmohur High School,CBSE,81.7,2016
142,Dhruv Bains,Male,1/15/2000,23,7.04,Thakur College Of Science And Commerce,Mumbai University,B.Com.,Finance,73.1,2022,Government Girl'S Higher Secondary School,CBSE,Commerce,86.8,2018,BSS Gurukulam Higher Secondary School,CBSE,85.28,2016
143,Zoya Bedi,Female,7/24/2000,25,7.17,Delhi College Of Arts And Commerce,Fakir Mohan University,B.B.A.,General,53.39,2020,Shri Kanwartara Public Higher Secondary School,CBSE,Commerce,82.2,2016,Gurukul School Dhamnod,CBSE,93.1,2014
144,Ajay Hooda,Male,4/23/1999,24,7.22,Saint Andrews College,Deen Dayal Upadhyaya Gorakhpur University,B.Com.,Commerce,70,2021,Christ Junior College,ISC,Commerce,66,2018,Delhi Public School Kamptee Road Nagpur,ICSE,84.33,2016
145,Kartik Naidu,Male,3/29/1999,22,6.65,University Of Petroleum And Energy Studies,University Of Delhi,B.B.A.,General,80.6,2023,Mira Model School,CBSE,Commerce,64,2019,Venkateshwar International School,CBSE,68.4,2017
146,Vimal Mittal,Male,6/28/2002,23,7.79,Maharaja Surajmal Institute,Guru Gobind Singh Indraprastha University,B.Com. (Hons.),General,87.11,2022,Guru Harkrishan Public School,ISC,Commerce,81.33,2019,Guru Harkrishan Public School,ICSE,91.2,2017
147,Siddhesh Mishra,Male,2/21/1999,24,7.4,Sri Guru Tegh Bahadur Khalsa College,University Of Delhi,B.Com. (Hons.),Commerce,77.99,2021,Hemnani Public School,CBSE,Commerce,90.33,2018,Little Flower School,CBSE,81.7,2016
148,Trisha Tripathi,Female,8/22/2002,22,7.47,Graphic Era Deemed To Be University,Guru Jambheshwar University Of Science And Technology,B.Com.,General,86.5,2021,Government Girl'S Higher Secondary School,CBSE,Commerce,78.8,2018,St. Francis inter college,ICSE,95,2016
149,Deepak Yadav,Male,4/21/2002,22,8.37,Dav College,Panjab University,B.Com. (Hons.),Banking,79.45,2023,L.S.D.B.R.A.S Vidya Mandir,CBSE,Commerce,89.33,2020,L.S.D.B.R.A.S Vidya Mandir,CBSE,86.4,2018
150,Ajay Grewal,Male,3/28/2000,23,7.79,Maharaja Surajmal Institute,Guru Gobind Singh Indraprastha University,B.Com. (Hons.),General,87.11,2022,Bhavan'S Vidyalaya,CBSE,Commerce,76.67,2019,Baptist Convent Senior Secondary School,CBSE,89.3,2017
151,Shraddha Bhatt,Female,2/20/2002,28,7.1,Pranveer Singh Institute Of Technology,Guru Gobind Singh Indraprastha University,B.Sc.,Biology,88,2017,Green Way Modern School,CBSE,Science,86.4,2013,St Lawrence Public Sr. School,CBSE,83.6,2011
152,Akanksha Das,Female,11/25/2001,22,6.21,Bharati College,University Of Delhi,B.Sc. (Hons.),Statistics,75.54,2023,Lord Jesus Public School,CBSE,Commerce,89.8,2020,Innocent Children Academy,CBSE,74.1,2018
153,Ira Bose,Female,9/19/2000,23,7.6,Maitreyi College,Amity University,B.Com. (Hons.),General,75.5,2022,Seth Anandram Jaipuria School,CBSE,Commerce,92.4,2019,Sacred Heart Convent Senior Secondary School,CBSE,87.4,2017
154,Vishal Singh,Male,10/15/2000,26,6.64,Abes Engineering College,The Northcap University,B.Tech,General,77.9,2022,Lucknow Public School,CBSE,Science (Non-Medical),74.6,2016,Vandana International School,CBSE,95,2014
155,Sameera Goswami,Female,2/15/1993,22,7.83,Mulund College Of Commerce,Mumbai University,Bachelors of Mass Media,Management,76.1,2022,Kishinchand Chellaram College,CBSE,Science (Medical),63.08,2019,Kundan Vidya Mandir Sr. Sec. School,CBSE,95,2017
156,Preeti Lal,Female,11/28/2002,24,7.1,Karmaveer Bhaurao Patil Institute Of Management Studies And Research,Indira Gandhi National Open University,B.Com.,Financial Accounting And Auditing,68.87,2022,Saint Joseph School,CBSE,Commerce,72.2,2018,Alwar Public School,CBSE,87.43,2016
157,Rahul Pandey,Male,7/21/2000,22,6.55,Amity School Of Liberal Arts,Mumbai University,B.Sc.,Mathematics And Computing,81.6,2021,Hans Raj Smarak School,CBSE,Science (Non-Medical),79.33,2018,D.A.V. Public School,CBSE,95,2016
158,Madhavi Bedi,Female,9/25/2002,22,7.09,Banasthali Vidhyapeeth,Banasthali University,B.B.A.,General,71.34,2023,St. Gregorios Senior Secondary School,CBSE,Science (Non-Medical),82,2020,Carmel School,CBSE,85.5,2018
159,Ameena Deshpande,Female,9/25/2002,22,8.01,Symbiosis Centre For Management Studies,Symbiosis International University,B.B.A.,General,92.4,2023,Delhi Public School,ISC,Commerce,88,2020,Shah International Public School,ICSE,90,2018
160,Prachi Vyas,Female,2/27/2001,22,7.02,Bharati College,University Of Delhi,B.A. (Hons.),Business Economics,69.16,2022,D.A.V Public School,CBSE,Science (Medical),86.6,2019,"Amity International School, Sec -46",CBSE,90.25,2017
161,Karishma Reddy,Female,9/19/2000,23,8.32,Sri Aurobindo College,University Of Delhi,B.Com. (Hons.),Commerce,87.3,2022,Cambridge School,CBSE,Commerce,90.6,2019,Lovely Rose Public Secondary School,CBSE,95,2017
162,Sameera Krishna,Female,3/18/1998,22,7.81,Maharshi Dayanand University,University Of Delhi,B.Com. (Hons.),General,82.69,2022,Summer Fields School,CBSE,Commerce,92.6,2019,Pathania Public School,Haryana Board,90.16,2017
163,Harish Panday,Male,11/29/1999,25,6.67,Goenka College Of Commerce And Business Administration,Guru Gobind Singh Indraprastha University,B.Com. (Hons.),General,80.6,2020,The Aryan International School,CBSE,Commerce,72.83,2017,Hindmotor High School,CBSE,77.16,2015
164,Manish Bedi,Male,12/16/2001,23,6.98,D.A.V. College,Guru Gobind Singh Indraprastha University,B.Sc.,Bsc. Hons Mathematics (Economics Minor),76.19,2022,The Shri Ram School,CBSE,Science (Non-Medical),79.33,2018,W.W.A. Cossipore English School,CBSE,87.4,2016
165,Tejas Mann,Male,12/16/1998,24,7.32,Academy Of Technology,Shivaji University,B.Tech,Chemical Engineering,76.9,2020,J K S Inter College Of Commerce,ISC,Science (Non-Medical),62.8,2016,Jagannath International School,ICSE,82.83,2014
166,Devendra Iyer,Male,7/24/2000,24,7.72,University Institute Of Engineering,University Of Delhi,B.Com. (Hons.),General,60,2020,Delhi Public School,CBSE,Commerce,90.4,2017,Ryan International School,CBSE,91,2015
167,Vivaan Goel,Male,10/30/1996,25,7.86,Vellore Institute Of Technology,University Of Delhi,B.Tech,General,81.13,2021,Little Flower Public Sr Sec School,CBSE,Science (Medical),91,2017,Holy Child Auxilium School,CBSE,81.7,2015
168,Ashok Reddy,Male,8/17/1998,25,6.72,Girijananda Chowdhury Institute Of Management And Technology,Guru Gobind Singh Indraprastha University,B.A. (Hons.),Economics,62.7,2020,St. George'S School,CBSE,Commerce,63,2016,D.A.V. Public School Rohini,CBSE,66,2014
169,Bhavesh Ahluwalia,Male,3/23/2000,22,7.46,Institute Of Information Technology And Management,University Of Delhi,B.Com. (Hons.),General,77.9,2021,Delhi Public School,CBSE,Commerce,87.5,2018,"Modern Public School, Shalimar Bagh",CBSE,66.5,2016
170,Manish Dwivedi,Male,3/23/1999,23,4.94,Amity Global Business School,Amity University,B.B.A.,General,70.6,2022,Venkateshwar International School,CBSE,Commerce,71,2019,Springdales School,CBSE,70.3,2017
171,Arvind Sandhu,Male,1/16/2001,29,8.73,Ymca,Jagannath University Bahadurgarh,B.Tech,Electronics And Communication Engineering,70,2016,St.George'S School,CBSE,Science (Non-Medical),69.6,2012,St. Xavier's High School,CBSE,82.5,2010
172,Jitendra Gill,Male,9/28/1999,23,6.81,Lovely Professional University,Birla Institute Of Technology,B.B.A.,Marketing And Human Resource,76.19,2022,Guru Nanak Public School,CBSE,Commerce,82.8,2019,K.R.Mangalam World School,CBSE,95,2017
173,Sachin Bhatt,Male,3/30/2001,24,6.76,Kalinga Institute Of Industrial Technology,Chitkara University,B.Tech,Electrical Engineering,84.5,2022,Amity International School,CBSE,Science (Non-Medical),80.25,2018,"Delhi Public School, Indore",CBSE,89.66,2016
174,Yogesh Guha,Male,2/26/2000,21,7.25,College Of Vocational Studies,University Of Delhi,B.Com. (Hons.),Commerce,74.07,2022,Delhi Public School,CBSE,Commerce,89.4,2019,Ryan International School,CBSE,79,2017
175,Jyoti Kohli,Female,6/23/2000,24,8.31,Janki Devi Memorial College,Kurukshetra University,B.Com.,Commerce,73.81,2020,Delhi Public School,CBSE,Commerce,90.6,2017,Delhi Public School,CBSE,79.8,2015
176,Jitendra Pannu,Male,7/31/2001,23,7.66,"Sri.C.Achutha Menon Government College Thrissur, Kuttanellur",University Of Calicut,B.Com.,Finance,69.58,2022,St. Anselm'S Pink City School,Kerala Higher Secondary Education,Commerce,81.6,2019,"DAV Public School Sreshtha Vihar, Delhi",Kerala State Board of Public Examination,90.57,2017
177,Suraj Verma,Male,11/26/2001,24,7.41,Kalinga Institute Of Industrial Technology,Amity University,B.Tech,Electronics And Communication Engineering,77.99,2021,Army Public School,CBSE,Science (Non-Medical),79.2,2018,Rukmini Devi Public School,CBSE,85.5,2016
178,Ameena Sangwan,Female,7/29/2002,23,7.47,Sri Venkateswara College,University Of Delhi,B.Sc. (Hons.),Physics,81.5,2023,Rd Rajpal School,CBSE,Science (Non-Medical),85.8,2020,Tagore Public School,CBSE,90.25,2018
179,Sadia Bhatia,Female,7/20/2001,23,6.34,University Of Petroleum & Energy Studies,Galgotias University,B.B.A.,Finance,70.21,2023,Dayanand Model Girls Senior Secondary School,CBSE,Science (Non-Medical),79.4,2020,St. Joseph's Academy,CBSE,82.83,2018
180,Meera Saxena,Female,4/21/2002,22,8.13,"Institute Of Management, Nirma University",Nirma University,B.B.A.,General,84.5,2022,Lotus Valley International School,CBSE,Commerce,88,2019,Lovely Public Senior Secondary School,CBSE,95,2017
181,Omkar Ahluwalia,Male,8/22/2000,29,7.19,Pandit Prithi Nath College,Assam Science And Technology University,B.Tech,Electrical And Electronics Engineering,68.38,2017,D.A.V Public School,CBSE,Science (Non-Medical),73,2013,Lake Montfort School,CBSE,87.4,2011
182,Jitendra Garg,Male,7/28/2002,22,7.19,Dav College,Guru Gobind Singh Indraprastha University,B.B.A.,General,85.32,2023,Summer Fields School,CBSE,Science (Non-Medical),73.5,2020,"Salwan Public School, Old Rajinder Nagar",CBSE,80.6,2018
183,Kajal Jain,Female,3/15/2002,23,7.71,G. B. Pant Govt. Engineering College,Chaudhary Charan Singh University,B.Com. (Hons.),Accounting And Finance,82.27,2022,Delhi Public School,CBSE,Commerce,92.4,2019,"Delhi Public School, Dwarka",CBSE,95,2017
184,Meghna Rana,Female,10/27/2000,25,6.66,Pranveer Singh Institute Of Technology,The Northcap University,Bachelor of Architecture,Electrical Engineering,88.7,2021,Shanti Gyan Niketan Goyala,CBSE,Commerce,76,2016,Silver Bells Public School,CBSE,95,2014
185,Ankit Gill,Male,5/26/1999,24,7.35,Thapar Institute Of Engineering & Technology,Savitribai Phule Pune University,B.Tech,Mechanical Engineering,61.8,2022,Delhi Public School,CBSE,Science (Non-Medical),63.85,2017,Bolosing Memorial School,CBSE,87.4,2015
186,Ajay Menon,Male,12/16/2001,24,6.87,Institute Of Management And Entrepreneurship Development,Calcutta University,B.Com.,Computer Science Engineering,87.3,2022,Vivekananda Kendra Vidyalaya,Maharashtra State Board of Secondary and Higher Secondary Education,Commerce,62.2,2017,Vivekananda Kendra vidyalaya,CBSE,66,2015
187,Lavanya Kalra,Female,4/15/2002,21,6.85,Vivekananda Institute Of Professional Studies,Guru Gobind Singh Indraprastha University,B.B.A.,General,89.3,2023,Patrachar Vidyalaya,CBSE,Commerce,87.84,2020,O.P. Jinal Modern School,CBSE,93,2018
188,Navin Grewal,Male,5/24/2001,24,7.26,College Of Technology,Gujarat University,B.B.A.,Marketing,84.2,2022,P.D. Patel Higher Secondary School,CBSE,Commerce,83.6,2018,Nehru World School,CBSE,95,2016
189,Suraj Chaudhary,Male,9/20/1998,22,7.98,Rajdhani College,Manipal University,B.Sc.,Hotel Management,77.71,2021,Hans Raj Smarak Sr. Sec. School,CBSE,Commerce,90.33,2018,Hans Raj Smarak School,CBSE,79,2016
190,Chetan Tiwari,Male,1/23/2001,22,8.28,Motilal Nehru College,University Of Delhi,B.Com. (Hons.),Commerce,88.1,2022,Delhi Public School,CBSE,Commerce,93.67,2019,Delhi Public School,CBSE,95,2017
191,Vidya Saxena,Female,4/18/2001,21,8.31,Sri Aurobindo College,University Of Delhi,B.B.A.,Commerce,92.4,2023,Patrachar Vidyalaya,CBSE,Science (Non-Medical),95.67,2020,R K C Vidya Vihar,CBSE,96.8,2018
192,Prakash Sandhu,Male,11/30/2000,25,6.67,Goenka College Of Commerce And Business Administration,Calcutta University,B.Com. (Hons.),Accountancy,79.28,2021,The Aryan International School,West Bengal Council of Higher Secondary Education,Science (Non-Medical),66.5,2018,East West Model School,CBSE,79.8,2016
193,Charu Patel,Female,4/21/2002,22,8.13,"Institute Of Management, Nirma University",Nirma University,B.B.A.,General,83.5,2022,Lotus Valley International School,CBSE,Commerce,88,2019,L.P. Savani International School,CBSE,95,2017
194,Mukesh Naidu,Male,12/20/2002,23,5.64,Jagannath Institute Of Management Studies,"J.C. Bose University Of Science And Technology, Ymca",B.B.A.,General,68.81,2021,Pathania Public School,CBSE,Commerce,55.6,2018,Lovely Public Senior Secondary School,Secondary Education Board of Assam,87.5,2016
195,Ananya Das,Female,8/15/1997,27,6.73,Kalindi College,Mumbai University,B.Sc.,Biology,73.8,2018,Jagannath International School,West Bengal Council of Higher Secondary Education,Science (Medical),80.03,2015,Jagannath International School,West Bengal Board of Secondary Education,95,2013
196,Rajat Suri,Male,5/20/2000,23,7.73,Maharaja Surajmal Institute,Guru Gobind Singh Indraprastha University,B.B.A.,General,87.11,2022,Shri Ram Ashram Public School,CBSE,Commerce,76.67,2019,The Lawrence School Lovedale,CBSE,91.2,2017
197,Bharat Kulkarni,Male,5/30/1999,26,7.22,City College Of Commerce & Business Administration,Calcutta University,B.Tech,Mechanical Engineering (Hons.),77.33,2020,Kendriya Vidyalaya No.2,Madhya Pradesh Board of Secondary Education,Science,91,2016,Delhi Public School,Secondary Education Board of Assam,95,2014
198,Jyoti Kalra,Female,8/20/2001,21,7.68,Kamala Nehru College,University Of Delhi,B.Sc. (Hons.),Physics,95.03,2023,Dynasty International School,CBSE,Commerce,93.4,2020,Dharam Public School,CBSE,95,2018
199,Sneha Tripathi,Female,5/20/2000,24,7.88,Shivaji College,University Of Delhi,B.Com. (Hons.),Commerce,77.14,2020,Vanasthali Public School,CBSE,Commerce,89.5,2017,Vanasthali Public School,CBSE,89.3,2015
200,Devendra Das,Male,7/20/2000,23,7.36,Vivekananda Institute Of Professional Studies,Guru Gobind Singh Indraprastha University,B.B.A.,General,91.9,2022,Mahavir Senior Model School,CBSE,Commerce,86.4,2019,Maheshwari Public School RIICO P-II Bagru Jaipur,CBSE,87.4,2017
201,Vidya Khanna,Female,4/15/2002,23,8.15,Maitreyi College,University Of Delhi,B.A. (Hons.),Economics,84.83,2022,Queen'S Convent School,CBSE,Commerce,95.67,2019,St. Michael Senior Secondary School,CBSE,95,2017
202,Siddhesh Nigam,Male,11/21/1999,23,6.69,Vivekananda Institute Of Professional Studies,Guru Gobind Singh Indraprastha University,B.Com. (Hons.),General,90.8,2022,The Aryan International School,CBSE,Commerce,80.8,2019,N.C. Jindal Public School,CBSE,93.1,2017
203,Namrata Patnaik,Female,8/14/1998,27,6.67,Kanoria Mahila Mahavidhyalaya,Rajasthan University,B.Sc.,Life Science,68.19,2018,Sumit Bal Sr. Sec. School,West Bengal Council of Higher Secondary Education,Science,86.2,2015,Macro Vision Academy,West Bengal Board of Secondary Education,79.8,2013
204,Kartik Suri,Male,4/23/1999,25,7.22,Vellore Institute Of Technology,Rajasthan University,B.B.A.,General,72.52,2020,Lal Bahadur Shastri Senior Secondary School,CBSE,Commerce,84,2017,Ryan International School,CBSE,64.6,2015
205,Rajni Pillai,Female,9/28/1999,23,8.32,Sri Aurobindo College,Indira Gandhi National Open University,B.B.A.,General,85.6,2022,Bhartiya Vidya Bhavan Vidyashram,CBSE,Commerce,91.5,2019,Bhartiya Vidya Bhavans Vidya Mandir,CBSE,95,2017
206,Manisha Goel,Female,10/20/2001,23,8.02,Government Kamlaraja Girls Post-Graduate Autonomous College,Maharishi Dayanand University,B.Com.,Electronics And Communication Engineering,63.25,2022,Maharaja Sumer Singh Public School,ISC,Commerce,71.54,2019,Jaspal Kaur Public School,ICSE,87.5,2017
207,Kanika Venkatesh,Female,8/23/2000,23,7.81,Dyal Singh College,Kurukshetra University,B.Sc.,Computer Science,77.87,2022,City Montessori School,CBSE,Science (Medical),85.33,2019,"City Montessori school, Mahanagar",CBSE,83.6,2017
208,Anurag Singh,Male,9/14/2000,20,6.52,Commerce College,Gujarat University,B.Sc.,Information Science Engineering,76.19,2022,Greenfields Public School,CBSE,Commerce,92.5,2019,Greenfields Public School,CBSE,95,2017
209,Sadia Das,Female,2/28/1998,22,7.55,Goswami Ganesh Dutta Sanatan Dharma College,Panjab University,B.Tech,Commerce,82.27,2022,Kendriya Vidyalaya,CBSE,Science (Non-Medical),82,2019,Delhi Public School Mathura Road,CBSE,91.2,2017
210,Raghav Rastogi,Male,7/24/2000,24,7.62,Jamia Hamdard,Jamia Hamdard University,B.Com. L.L.B,Pharmacy,80.4,2022,Sri Chaitanya Junior Kalasala,CBSE,Science (Medical),84.4,2017,Gagan Bharti Public School,CBSE,74.1,2015
211,Rajat Sandhu,Male,2/19/2002,23,8.18,Institute Of Management Nirma University,Madras University,B.Com. L.L.B,Management,63.42,2021,Convent Of Gagan Bharti,CBSE,Science (Medical),63.85,2017,St. Peter's College,CBSE,74.1,2015
212,Dinesh Sandhu,Male,1/23/2001,23,8.33,Motilal Nehru College,University Of Delhi,B.Com. (Hons.),Commerce,80.88,2022,Delhi Public School,CBSE,Commerce,89.2,2019,Convent of Jesus and Mary,CBSE,89.3,2017
